2021-02-24 10:22:10,915  root       INFO    [Console] - Now logging under configuration
2021-02-24 10:22:10,916  root       DEBUG   [Console] - Console: [No bot root argument set, defaulting to [..\..\config\windows]]
2021-02-24 10:22:10,937  root       WARNING Missing value for [default_userid] in config, return default value Console
2021-02-24 10:22:10,938  root       WARNING Missing value for [description] in config, return default value ProgramY AIML2.0 Client
2021-02-24 10:22:10,940  root       WARNING Missing value for [format] in config, return default value None
2021-02-24 10:22:10,940  root       WARNING Missing value for [encoding] in config, return default value None
2021-02-24 10:22:10,940  root       WARNING Missing value for [delete_on_start] in config, return default value False
2021-02-24 10:22:10,941  root       WARNING Missing value for [dirs] in config, return default value
2021-02-24 10:22:10,941  root       WARNING Missing value for [format] in config, return default value None
2021-02-24 10:22:10,941  root       WARNING Missing value for [encoding] in config, return default value None
2021-02-24 10:22:10,941  root       WARNING Missing value for [delete_on_start] in config, return default value False
2021-02-24 10:22:10,941  root       WARNING Missing value for [dirs] in config, return default value
2021-02-24 10:22:10,941  root       WARNING Missing value for [format] in config, return default value None
2021-02-24 10:22:10,941  root       WARNING Missing value for [encoding] in config, return default value None
2021-02-24 10:22:10,941  root       WARNING Missing value for [delete_on_start] in config, return default value False
2021-02-24 10:22:10,941  root       WARNING Missing value for [extension] in config, return default value None
2021-02-24 10:22:10,941  root       WARNING Missing value for [subdirs] in config, return default value False
2021-02-24 10:22:10,941  root       WARNING Missing value for [format] in config, return default value None
2021-02-24 10:22:10,941  root       WARNING Missing value for [encoding] in config, return default value None
2021-02-24 10:22:10,942  root       WARNING Missing value for [delete_on_start] in config, return default value False
2021-02-24 10:22:10,942  root       WARNING Missing value for [extension] in config, return default value None
2021-02-24 10:22:10,942  root       WARNING Missing value for [subdirs] in config, return default value False
2021-02-24 10:22:10,942  root       WARNING Missing value for [format] in config, return default value None
2021-02-24 10:22:10,942  root       WARNING Missing value for [encoding] in config, return default value None
2021-02-24 10:22:10,942  root       WARNING Missing value for [delete_on_start] in config, return default value False
2021-02-24 10:22:10,942  root       WARNING Missing value for [subdirs] in config, return default value False
2021-02-24 10:22:10,942  root       WARNING Missing value for [format] in config, return default value None
2021-02-24 10:22:10,942  root       WARNING Missing value for [encoding] in config, return default value None
2021-02-24 10:22:10,942  root       WARNING Missing value for [delete_on_start] in config, return default value False
2021-02-24 10:22:10,942  root       WARNING Missing value for [subdirs] in config, return default value False
2021-02-24 10:22:10,942  root       WARNING Missing value for [format] in config, return default value None
2021-02-24 10:22:10,942  root       WARNING Missing value for [encoding] in config, return default value None
2021-02-24 10:22:10,942  root       WARNING Missing value for [delete_on_start] in config, return default value False
2021-02-24 10:22:10,943  root       WARNING Missing value for [format] in config, return default value None
